mode,cache,simTicks,simInsts,numCycles,IPC,l1d_miss_rate,l1d_misses,l1d_hits,stats_path
random,l1_16k,79724258937,9320416,239412189,0.038932,0.407591,1177402,1711282,/home/greyghst/gem5-orkom/results/raw/random_l1_16k/stats.txt
random,l1_32k,77170509909,9320416,231743273,0.040220,0.393253,1135985,1752699,/home/greyghst/gem5-orkom/results/raw/random_l1_32k/stats.txt
random,l1_l2,49444227612,9320416,148481164,0.062774,0.393133,1135638,1753046,/home/greyghst/gem5-orkom/results/raw/random_l1_l2/stats.txt
random,nocache,592541413119,9320416,1779403643,0.005238,,,,/home/greyghst/gem5-orkom/results/raw/random_nocache/stats.txt
seq,l1_16k,13726143117,8271703,41219649,0.200681,0.086488,159144,1680932,/home/greyghst/gem5-orkom/results/raw/seq_l1_16k/stats.txt
seq,l1_32k,13071351897,8271703,39253309,0.210733,0.080153,147487,1692589,/home/greyghst/gem5-orkom/results/raw/seq_l1_32k/stats.txt
seq,l1_l2,8047630980,8271703,24167060,0.342283,0.079514,146312,1693764,/home/greyghst/gem5-orkom/results/raw/seq_l1_l2/stats.txt
seq,nocache,572040798588,8271703,1717840236,0.004815,,,,/home/greyghst/gem5-orkom/results/raw/seq_nocache/stats.txt
stride,l1_16k,21337107534,8272782,64075398,0.129115,0.638531,1174953,665136,/home/greyghst/gem5-orkom/results/raw/stride_l1_16k/stats.txt
stride,l1_32k,20684055906,8272782,62114282,0.133191,0.632207,1163318,676771,/home/greyghst/gem5-orkom/results/raw/stride_l1_32k/stats.txt
stride,l1_l2,22121678511,8272782,66431467,0.124535,0.398306,732919,1107170,/home/greyghst/gem5-orkom/results/raw/stride_l1_l2/stats.txt
stride,nocache,478321702497,8272782,1436401509,0.005760,,,,/home/greyghst/gem5-orkom/results/raw/stride_nocache/stats.txt
